type,system_code,system_term,system_defenition,system_display
ObservationInterpretation,NEG,Negative,"An absence finding of the specified component / analyte, organism or clinical sign based on the established threshold of the performed test or procedure. \[Note: Negative does not necessarily imply the complete absence of the specified item.\]",http://terminology.hl7.org/CodeSystem/v3-ObservationInterpretation
ObservationInterpretation,POS,Positive,"A presence finding of the specified component / analyte, organism or clinical sign based on the established threshold of the performed test or procedure.",http://terminology.hl7.org/CodeSystem/v3-ObservationInterpretation
ObservationInterpretation,EXP,Expected,"This result has been evaluated in light of known contraindicators. Once those contraindicators have been taken into account the result is determined to be ""Expected"" (e.g., presence of drugs in a patient that is taking prescription medication for pain management).",http://terminology.hl7.org/CodeSystem/v3-ObservationInterpretation
ObservationInterpretation,UNE,Unexpected,"This result has been evaluated in light of known contraindicators. Once those contraindicators have been taken into account the result is determined to be ""Unexpected"" (e.g., presence of non-prescribed drugs in a patient that is taking prescription medication for pain management).",http://terminology.hl7.org/CodeSystem/v3-ObservationInterpretation
ObservationInterpretation,DET,Detected,"The measurement of the specified component / analyte, organism or clinical sign above the limit of detection of the performed test or procedure.",http://terminology.hl7.org/CodeSystem/v3-ObservationInterpretation
ObservationInterpretation,SYN-R,Synergy - resistant,"A category for isolates where the bacteria (e.g. enterococci) are not susceptible in vitro to a combination therapy (e.g., high-level aminoglycoside and cell wall active agent). This is predictive that this combination therapy will not be effective. *Usage Note:* Since the use of penicillin or ampicillin alone often results in treatment failure of serious enterococcal or other bacterial infections, combination therapy is usually indicated to enhance bactericidal activity. The synergy between a cell wall active agent (such as penicillin, ampicillin, or vancomycin) and an aminoglycoside (such as gentamicin, kanamycin or streptomycin) is best predicted by screening for high-level bacterial resistance to the aminoglycoside. *Open Issue:* The print name of the code is very general and the description is very specific to a pair of classes of agents, which may lead to confusion of these concepts in the future should other synergies be found.",http://terminology.hl7.org/CodeSystem/v3-ObservationInterpretation
ObservationInterpretation,NR,Non-reactive,An absence finding used to indicate that the specified component / analyte did not react measurably with the reagent.,http://terminology.hl7.org/CodeSystem/v3-ObservationInterpretation
ObservationInterpretation,RR,Reactive,A presence finding used to indicate that the specified component / analyte reacted with the reagent above the reliably measurable limit of the performed test.,http://terminology.hl7.org/CodeSystem/v3-ObservationInterpretation
ObservationInterpretation,WR,Weakly reactive,"A weighted presence finding used to indicate that the specified component / analyte reacted with the reagent, but below the reliably measurable limit of the performed test.",http://terminology.hl7.org/CodeSystem/v3-ObservationInterpretation
ObservationInterpretation,SDD,Susceptible-dose dependent,"A category that includes isolates with antimicrobial agent minimum inhibitory concentrations (MICs) that approach usually attainable blood and tissue levels and for which response rates may be lower than for susceptible isolates. Reference: CLSI document M44-A2 2009 ""Method for antifungal disk diffusion susceptibility testing of yeasts; approved guideline - second edition"" - page 2.",http://terminology.hl7.org/CodeSystem/v3-ObservationInterpretation
ObservationInterpretation,SYN-S,Synergy - susceptible,"A category for isolates where the bacteria (e.g. enterococci) are susceptible in vitro to a combination therapy (e.g., high-level aminoglycoside and cell wall active agent). This is predictive that this combination therapy will be effective. *Usage Note:* Since the use of penicillin or ampicillin alone often results in treatment failure of serious enterococcal or other bacterial infections, combination therapy is usually indicated to enhance bactericidal activity. The synergy between a cell wall active agent (such as penicillin, ampicillin, or vancomycin) and an aminoglycoside (such as gentamicin, kanamycin or streptomycin) is best predicted by screening for high-level bacterial resistance to the aminoglycoside. *Open Issue:* The print name of the code is very general and the description is very specific to a pair of classes of agents, which may lead to confusion of these concepts in the future should other synergies be found.",http://terminology.hl7.org/CodeSystem/v3-ObservationInterpretation
AcceptingPatients,nopt,Not Accepting,Not accepting patients,http://terminology.hl7.org/CodeSystem/accepting-patients
AcceptingPatients,newpt,Accepting new and existing patients,Accepting new and existing patients,http://terminology.hl7.org/CodeSystem/accepting-patients
AcceptingPatients,existptonly,Accepting existing patients only,Accepting existing patients only,http://terminology.hl7.org/CodeSystem/accepting-patients
AcceptingPatients,existptfam,Accepting existing patients and their families only,Accepting existing patients and members of their families only,http://terminology.hl7.org/CodeSystem/accepting-patients
StatisticsCode,average,Average,The [mean](https://en.wikipedia.org/wiki/Arithmetic_mean) of N measurements over the stated period.,http://terminology.hl7.org/CodeSystem/observation-statistics
StatisticsCode,maximum,Maximum,The [maximum](https://en.wikipedia.org/wiki/Maximal_element) value of N measurements over the stated period.,http://terminology.hl7.org/CodeSystem/observation-statistics
StatisticsCode,minimum,Minimum,The [minimum](https://en.wikipedia.org/wiki/Minimal_element) value of N measurements over the stated period.,http://terminology.hl7.org/CodeSystem/observation-statistics
StatisticsCode,count,Count,The [number] of valid measurements over the stated period that contributed to the other statistical outputs.,http://terminology.hl7.org/CodeSystem/observation-statistics
StatisticsCode,total-count,Total Count,"The total [number] of valid measurements over the stated period, including observations that were ignored because they did not contain valid result values.",http://terminology.hl7.org/CodeSystem/observation-statistics
StatisticsCode,median,Median,The [median](https://en.wikipedia.org/wiki/Median) of N measurements over the stated period.,http://terminology.hl7.org/CodeSystem/observation-statistics
StatisticsCode,std-dev,Standard Deviation,The [standard deviation](https://en.wikipedia.org/wiki/Standard_deviation) of N measurements over the stated period.,http://terminology.hl7.org/CodeSystem/observation-statistics
StatisticsCode,sum,Sum,The [sum](https://en.wikipedia.org/wiki/Summation) of N measurements over the stated period.,http://terminology.hl7.org/CodeSystem/observation-statistics
StatisticsCode,variance,Variance,The [variance](https://en.wikipedia.org/wiki/Variance) of N measurements over the stated period.,http://terminology.hl7.org/CodeSystem/observation-statistics
StatisticsCode,20-percent,20th Percentile,The 20th [Percentile](https://en.wikipedia.org/wiki/Percentile) of N measurements over the stated period.,http://terminology.hl7.org/CodeSystem/observation-statistics
StatisticsCode,80-percent,80th Percentile,The 80th [Percentile](https://en.wikipedia.org/wiki/Percentile) of N measurements over the stated period.,http://terminology.hl7.org/CodeSystem/observation-statistics
StatisticsCode,4-lower,Lower Quartile,The lower [Quartile](https://en.wikipedia.org/wiki/Quartile) Boundary of N measurements over the stated period.,http://terminology.hl7.org/CodeSystem/observation-statistics
StatisticsCode,4-upper,Upper Quartile,The upper [Quartile](https://en.wikipedia.org/wiki/Quartile) Boundary of N measurements over the stated period.,http://terminology.hl7.org/CodeSystem/observation-statistics
StatisticsCode,4-dev,Quartile Deviation,The difference between the upper and lower [Quartiles](https://en.wikipedia.org/wiki/Quartile) is called the Interquartile range. (IQR = Q3-Q1) Quartile deviation or Semi-interquartile range is one-half the difference between the first and the third quartiles.,http://terminology.hl7.org/CodeSystem/observation-statistics
StatisticsCode,5-1,1st Quintile,The lowest of four values that divide the N measurements into a frequency distribution of five classes with each containing one fifth of the total population.,http://terminology.hl7.org/CodeSystem/observation-statistics
StatisticsCode,5-2,2nd Quintile,The second of four values that divide the N measurements into a frequency distribution of five classes with each containing one fifth of the total population.,http://terminology.hl7.org/CodeSystem/observation-statistics
StatisticsCode,5-3,3rd Quintile,The third of four values that divide the N measurements into a frequency distribution of five classes with each containing one fifth of the total population.,http://terminology.hl7.org/CodeSystem/observation-statistics
StatisticsCode,5-4,4th Quintile,The fourth of four values that divide the N measurements into a frequency distribution of five classes with each containing one fifth of the total population.,http://terminology.hl7.org/CodeSystem/observation-statistics
StatisticsCode,skew,Skew,"Skewness is a measure of the asymmetry of the probability distribution of a real-valued random variable about its mean. The skewness value can be positive or negative, or even undefined. Source: [Wikipedia](https://en.wikipedia.org/wiki/Skewness).",http://terminology.hl7.org/CodeSystem/observation-statistics
StatisticsCode,kurtosis,Kurtosis,"Kurtosis is a measure of the ""tailedness"" of the probability distribution of a real-valued random variable. Source: [Wikipedia](https://en.wikipedia.org/wiki/Kurtosis).",http://terminology.hl7.org/CodeSystem/observation-statistics
StatisticsCode,regression,Regression,"Linear regression is an approach for modeling two-dimensional sample points with one independent variable and one dependent variable (conventionally, the x and y coordinates in a Cartesian coordinate system) and finds a linear function (a non-vertical straight line) that, as accurately as possible, predicts the dependent variable values as a function of the independent variables. Source: [Wikipedia](https://en.wikipedia.org/wiki/Simple_linear_regression) This Statistic code will return both a gradient and an intercept value.",http://terminology.hl7.org/CodeSystem/observation-statistics
ObservationMethod,_DecisionObservationMethod,DecisionObservationMethod,"Provides codes for decision methods, initially for assessing the causality of events.",http://terminology.hl7.org/CodeSystem/v3-ObservationMethod
ObservationMethod,_GeneticObservationMethod,GeneticObservationMethod,"A code that provides additional detail about the means or technique used to ascertain the genetic analysis. Example, PCR, Micro Array",http://terminology.hl7.org/CodeSystem/v3-ObservationMethod
ObservationMethod,_ObservationMethodAggregate,observation method aggregate,Provides additional detail about the aggregation methods used to compute the aggregated values for an observation. This is an abstract code.,http://terminology.hl7.org/CodeSystem/v3-ObservationMethod
ObservationMethod,_VerificationMethod,VerificationMethod,,http://terminology.hl7.org/CodeSystem/v3-ObservationMethod
ObservationMethod,0001,Complement fixation,Complement fixation,http://terminology.hl7.org/CodeSystem/v3-ObservationMethod
ObservationMethod,0002,Computed axial tomography,Computed axial tomography,http://terminology.hl7.org/CodeSystem/v3-ObservationMethod
ObservationMethod,0003,HLAR agar test,"Susceptibility, High Level Aminoglycoside Resistance agar test",http://terminology.hl7.org/CodeSystem/v3-ObservationMethod
ObservationMethod,0004,Macroscopic observation,"Visual, Macroscopic observation",http://terminology.hl7.org/CodeSystem/v3-ObservationMethod
ObservationMethod,0005,Magnetic resonance,"Computed, Magnetic resonance",http://terminology.hl7.org/CodeSystem/v3-ObservationMethod
ObservationMethod,0006,Morphometry,"Computed, Morphometry",http://terminology.hl7.org/CodeSystem/v3-ObservationMethod
ObservationMethod,0007,Positron emission tomography,"Computed, Positron emission tomography",http://terminology.hl7.org/CodeSystem/v3-ObservationMethod
ObservationMethod,0008,SAMHSA confirmation,SAMHSA drug assay confirmation,http://terminology.hl7.org/CodeSystem/v3-ObservationMethod
ObservationMethod,0009,SAMHSA screening,SAMHSA drug assay screening,http://terminology.hl7.org/CodeSystem/v3-ObservationMethod
ObservationMethod,0010,Serum Neutralization,Serum Neutralization,http://terminology.hl7.org/CodeSystem/v3-ObservationMethod
ObservationMethod,0011,Titration,Titration,http://terminology.hl7.org/CodeSystem/v3-ObservationMethod
ObservationMethod,0012,Ultrasound,Ultrasound,http://terminology.hl7.org/CodeSystem/v3-ObservationMethod
ObservationMethod,0013,X-ray crystallography,X-ray crystallography,http://terminology.hl7.org/CodeSystem/v3-ObservationMethod
ObservationMethod,0014,Agglutination,Agglutination,http://terminology.hl7.org/CodeSystem/v3-ObservationMethod
ObservationMethod,0015,Buffered acidified plate agglutination,"Agglutination, Buffered acidified plate",http://terminology.hl7.org/CodeSystem/v3-ObservationMethod
ObservationMethod,0016,Card agglutination,"Agglutination, Card",http://terminology.hl7.org/CodeSystem/v3-ObservationMethod
ObservationMethod,0017,Hemagglutination,"Agglutination, Hemagglutination",http://terminology.hl7.org/CodeSystem/v3-ObservationMethod
ObservationMethod,0018,Hemagglutination inhibition,"Agglutination, Hemagglutination inhibition",http://terminology.hl7.org/CodeSystem/v3-ObservationMethod
ObservationMethod,0019,Latex agglutination,"Agglutination, Latex",http://terminology.hl7.org/CodeSystem/v3-ObservationMethod
ObservationMethod,0020,Plate agglutination,"Agglutination, Plate",http://terminology.hl7.org/CodeSystem/v3-ObservationMethod
ObservationMethod,0021,Rapid agglutination,"Agglutination, Rapid Plate",http://terminology.hl7.org/CodeSystem/v3-ObservationMethod
ObservationMethod,0022,RBC agglutination,"Agglutination, RBC",http://terminology.hl7.org/CodeSystem/v3-ObservationMethod
ObservationMethod,0023,Rivanol agglutination,"Agglutination, Rivanol",http://terminology.hl7.org/CodeSystem/v3-ObservationMethod
ObservationMethod,0024,Tube agglutination,"Agglutination, Tube",http://terminology.hl7.org/CodeSystem/v3-ObservationMethod
ObservationMethod,0025,Bioassay,Bioassay,http://terminology.hl7.org/CodeSystem/v3-ObservationMethod
ObservationMethod,0026,Animal Inoculation,"Bioassay, Animal Inoculation",http://terminology.hl7.org/CodeSystem/v3-ObservationMethod
ObservationMethod,0027,Cytotoxicity,"Bioassay, Cytotoxicity",http://terminology.hl7.org/CodeSystem/v3-ObservationMethod
ObservationMethod,0028,Embryo infective dose 50,"Bioassay, Embryo Infective Dose 50",http://terminology.hl7.org/CodeSystem/v3-ObservationMethod
ObservationMethod,0029,Embryo lethal dose 50,"Bioassay, Embryo Lethal Dose 50",http://terminology.hl7.org/CodeSystem/v3-ObservationMethod
ObservationMethod,0030,Mouse intercerebral inoculation,"Bioassay, Mouse intercerebral inoculation",http://terminology.hl7.org/CodeSystem/v3-ObservationMethod
ObservationMethod,0031,"Bioassay, qualitative","Bioassay, qualitative",http://terminology.hl7.org/CodeSystem/v3-ObservationMethod
ObservationMethod,0032,"Bioassay, quantitative","Bioassay, quantitative",http://terminology.hl7.org/CodeSystem/v3-ObservationMethod
ObservationMethod,0033,Chemical method,Chemical,http://terminology.hl7.org/CodeSystem/v3-ObservationMethod
ObservationMethod,0034,Differential light absorption chemical test,"Chemical, Differential light absorption",http://terminology.hl7.org/CodeSystem/v3-ObservationMethod
ObservationMethod,0035,Dipstick,"Chemical, Dipstick",http://terminology.hl7.org/CodeSystem/v3-ObservationMethod
ObservationMethod,0036,Dipstick colorimetric laboratory test,"Chemical, Dipstick colorimetric laboratory test",http://terminology.hl7.org/CodeSystem/v3-ObservationMethod
ObservationMethod,0037,Test strip,"Chemical, Test strip",http://terminology.hl7.org/CodeSystem/v3-ObservationMethod
ObservationMethod,0038,Chromatography,Chromatography,http://terminology.hl7.org/CodeSystem/v3-ObservationMethod
ObservationMethod,0039,Affinity chromatography,"Chromatography, Affinity",http://terminology.hl7.org/CodeSystem/v3-ObservationMethod
ObservationMethod,0040,Gas liquid chromatography,"Chromatography, Gas liquid",http://terminology.hl7.org/CodeSystem/v3-ObservationMethod
ObservationMethod,0041,High performance liquid chromatography,"Chromatography, High performance liquid",http://terminology.hl7.org/CodeSystem/v3-ObservationMethod
ObservationMethod,0042,Liquid Chromatography,"Chromatography, Liquid",http://terminology.hl7.org/CodeSystem/v3-ObservationMethod
ObservationMethod,0043,Protein A affinity chromatography,"Chromatography, Protein A affinity",http://terminology.hl7.org/CodeSystem/v3-ObservationMethod
ObservationMethod,0044,Coagulation,Coagulation,http://terminology.hl7.org/CodeSystem/v3-ObservationMethod
ObservationMethod,0045,Tilt tube coagulation time,"Coagulation, Tilt tube",http://terminology.hl7.org/CodeSystem/v3-ObservationMethod
ObservationMethod,0046,Tilt tube reptilase induced coagulation,"Coagulation, Tilt tube reptilase induced",http://terminology.hl7.org/CodeSystem/v3-ObservationMethod
ObservationMethod,0047,Automated count,"Count, Automated",http://terminology.hl7.org/CodeSystem/v3-ObservationMethod
ObservationMethod,0048,Manual cell count,"Count, Manual",http://terminology.hl7.org/CodeSystem/v3-ObservationMethod
ObservationMethod,0049,"Platelet count, Rees-Ecker","Count, Platelet, Rees-Ecker",http://terminology.hl7.org/CodeSystem/v3-ObservationMethod
ObservationMethod,0050,Aerobic Culture,"Culture, Aerobic",http://terminology.hl7.org/CodeSystem/v3-ObservationMethod
ObservationMethod,0051,Anaerobic Culture,"Culture, Anaerobic",http://terminology.hl7.org/CodeSystem/v3-ObservationMethod
ObservationMethod,0052,Chicken embryo culture,"Culture, Chicken Embryo",http://terminology.hl7.org/CodeSystem/v3-ObservationMethod
ObservationMethod,0053,Delayed secondary enrichment,"Culture, Delayed secondary enrichment",http://terminology.hl7.org/CodeSystem/v3-ObservationMethod
ObservationMethod,0054,Microaerophilic Culture,"Culture, Microaerophilic",http://terminology.hl7.org/CodeSystem/v3-ObservationMethod
ObservationMethod,0055,"Quantitative microbial culture, cup","Culture, Quantitative microbial, cup",http://terminology.hl7.org/CodeSystem/v3-ObservationMethod
ObservationMethod,0056,"Quantitative microbial culture, droplet","Culture, Quantitative microbial, droplet",http://terminology.hl7.org/CodeSystem/v3-ObservationMethod
ObservationMethod,0057,"Quantitative microbial culture, filter paper","Culture, Quantitative microbial, filter paper",http://terminology.hl7.org/CodeSystem/v3-ObservationMethod
ObservationMethod,0058,"Quantitative microbial culture, pad culture","Culture, Quantitative microbial, pad",http://terminology.hl7.org/CodeSystem/v3-ObservationMethod
ObservationMethod,0059,"Quantitative microbial culture, pour plate","Culture, Quantitative microbial, pour plate",http://terminology.hl7.org/CodeSystem/v3-ObservationMethod
ObservationMethod,0060,"Quantitative microbial culture, surface streak","Culture, Quantitative microbial, surface streak",http://terminology.hl7.org/CodeSystem/v3-ObservationMethod
ObservationMethod,0061,Somatic Cell culture,"Culture, Somatic Cell",http://terminology.hl7.org/CodeSystem/v3-ObservationMethod
ObservationMethod,0062,Agar diffusion,"Diffusion, Agar",http://terminology.hl7.org/CodeSystem/v3-ObservationMethod
ObservationMethod,0063,Agar Gel Immunodiffusion,"Diffusion, Agar Gel Immunodiffusion",http://terminology.hl7.org/CodeSystem/v3-ObservationMethod
ObservationMethod,0064,Electrophoresis,Electrophoresis,http://terminology.hl7.org/CodeSystem/v3-ObservationMethod
ObservationMethod,0065,Agaorse gel electrophoresis,"Electrophoresis, Agaorse gel",http://terminology.hl7.org/CodeSystem/v3-ObservationMethod
ObservationMethod,0066,"Electrophoresis, citrate agar","Electrophoresis, citrate agar",http://terminology.hl7.org/CodeSystem/v3-ObservationMethod
ObservationMethod,0067,Immunoelectrophoresis,"Electrophoresis, Immuno",http://terminology.hl7.org/CodeSystem/v3-ObservationMethod
ObservationMethod,0068,Polyacrylamide gel electrophoresis,"Electrophoresis, Polyacrylamide gel",http://terminology.hl7.org/CodeSystem/v3-ObservationMethod
ObservationMethod,0069,Starch gel electrophoresis,"Electrophoresis, Starch gel",http://terminology.hl7.org/CodeSystem/v3-ObservationMethod
ObservationMethod,0070,ELISA,ELISA,http://terminology.hl7.org/CodeSystem/v3-ObservationMethod
ObservationMethod,0071,"ELISA, antigen capture","ELISA, antigen capture",http://terminology.hl7.org/CodeSystem/v3-ObservationMethod
ObservationMethod,0072,"ELISA, avidin biotin peroxidase complex","ELISA, avidin biotin peroxidase complex",http://terminology.hl7.org/CodeSystem/v3-ObservationMethod
ObservationMethod,0073,Kinetic ELISA,"ELISA, Kinetic",http://terminology.hl7.org/CodeSystem/v3-ObservationMethod
ObservationMethod,0074,"ELISA, peroxidase-antiperoxidase","ELISA, peroxidase-antiperoxidase",http://terminology.hl7.org/CodeSystem/v3-ObservationMethod
ObservationMethod,0075,API 20 Strep,"Identification, API 20 Strep",http://terminology.hl7.org/CodeSystem/v3-ObservationMethod
ObservationMethod,0076,API 20A,"Identification, API 20A",http://terminology.hl7.org/CodeSystem/v3-ObservationMethod
ObservationMethod,0077,API 20C AUX,"Identification, API 20C AUX",http://terminology.hl7.org/CodeSystem/v3-ObservationMethod
ObservationMethod,0078,API 20E,"Identification, API 20E",http://terminology.hl7.org/CodeSystem/v3-ObservationMethod
ObservationMethod,0079,API 20NE,"Identification, API 20NE",http://terminology.hl7.org/CodeSystem/v3-ObservationMethod
ObservationMethod,0080,API 50 CH,"Identification, API 50 CH",http://terminology.hl7.org/CodeSystem/v3-ObservationMethod
ObservationMethod,0081,API An-IDENT,"Identification, API An-IDENT",http://terminology.hl7.org/CodeSystem/v3-ObservationMethod
ObservationMethod,0082,API Coryne,"Identification, API Coryne",http://terminology.hl7.org/CodeSystem/v3-ObservationMethod
ObservationMethod,0083,API Rapid 20E,"Identification, API Rapid 20E",http://terminology.hl7.org/CodeSystem/v3-ObservationMethod
ObservationMethod,0084,API Staph,"Identification, API Staph",http://terminology.hl7.org/CodeSystem/v3-ObservationMethod
ObservationMethod,0085,API ZYM,"Identification, API ZYM",http://terminology.hl7.org/CodeSystem/v3-ObservationMethod
ObservationMethod,0086,Bacterial identification,"Identification, Bacterial",http://terminology.hl7.org/CodeSystem/v3-ObservationMethod
ObservationMethod,0087,mini VIDAS,"Identification, mini VIDAS",http://terminology.hl7.org/CodeSystem/v3-ObservationMethod
ObservationMethod,0088,Phage susceptibility typing,"Identification, Phage susceptibility typing",http://terminology.hl7.org/CodeSystem/v3-ObservationMethod
ObservationMethod,0089,Quad-FERM+,"Identification, Quad-FERM+",http://terminology.hl7.org/CodeSystem/v3-ObservationMethod
ObservationMethod,0090,RAPIDEC Staph,"Identification, RAPIDEC Staph",http://terminology.hl7.org/CodeSystem/v3-ObservationMethod
ObservationMethod,0091,Staphaurex,"Identification, Staphaurex",http://terminology.hl7.org/CodeSystem/v3-ObservationMethod
ObservationMethod,0092,VIDAS,"Identification, VIDAS",http://terminology.hl7.org/CodeSystem/v3-ObservationMethod
ObservationMethod,0093,Vitek,"Identification, Vitek",http://terminology.hl7.org/CodeSystem/v3-ObservationMethod
ObservationMethod,0094,VITEK 2,"Identification, VITEK 2",http://terminology.hl7.org/CodeSystem/v3-ObservationMethod
ObservationMethod,0095,Immune stain,Immune stain,http://terminology.hl7.org/CodeSystem/v3-ObservationMethod
ObservationMethod,0096,"Immunofluorescent antibody, direct","Immune stain, Immunofluorescent antibody, direct",http://terminology.hl7.org/CodeSystem/v3-ObservationMethod
ObservationMethod,0097,"Immunofluorescent antibody, indirect","Immune stain, Immunofluorescent antibody, indirect",http://terminology.hl7.org/CodeSystem/v3-ObservationMethod
ObservationMethod,0098,"Immunoperoxidase, Avidin-Biotin Complex","Immune stain, Immunoperoxidase, Avidin-Biotin Complex",http://terminology.hl7.org/CodeSystem/v3-ObservationMethod
ObservationMethod,0099,"Immunoperoxidase, Peroxidase anti-peroxidase complex","Immune stain, Immunoperoxidase, Peroxidase anti-peroxidase complex",http://terminology.hl7.org/CodeSystem/v3-ObservationMethod
ObservationMethod,0100,"Immunoperoxidase, Protein A-peroxidase complex","Immune stain, Immunoperoxidase, Protein A-peroxidase complex",http://terminology.hl7.org/CodeSystem/v3-ObservationMethod
ObservationMethod,0101,Immunoassay,Immunoassay,http://terminology.hl7.org/CodeSystem/v3-ObservationMethod
ObservationMethod,0102,"Immunoassay, qualitative, multiple step","Immunoassay, qualitative, multiple step",http://terminology.hl7.org/CodeSystem/v3-ObservationMethod
ObservationMethod,0103,"Immunoassay, qualitative, single step","Immunoassay, qualitative, single step",http://terminology.hl7.org/CodeSystem/v3-ObservationMethod
ObservationMethod,0104,Radioimmunoassay,"Immunoassay, Radioimmunoassay",http://terminology.hl7.org/CodeSystem/v3-ObservationMethod
ObservationMethod,0105,"Immunoassay, semi-quantitative, multiple step","Immunoassay, semi-quantitative, multiple step",http://terminology.hl7.org/CodeSystem/v3-ObservationMethod
ObservationMethod,0106,"Immunoassay, semi-quantitative, single step","Immunoassay, semi-quantitative, single step",http://terminology.hl7.org/CodeSystem/v3-ObservationMethod
ObservationMethod,0107,Microscopy,Microscopy,http://terminology.hl7.org/CodeSystem/v3-ObservationMethod
ObservationMethod,0108,Darkfield microscopy,"Microscopy, Darkfield",http://terminology.hl7.org/CodeSystem/v3-ObservationMethod
ObservationMethod,0109,Electron microscopy,"Microscopy, Electron",http://terminology.hl7.org/CodeSystem/v3-ObservationMethod
ObservationMethod,0110,Electron microscopy tomography,"Microscopy, Electron microscopy tomography",http://terminology.hl7.org/CodeSystem/v3-ObservationMethod
ObservationMethod,0111,"Electron microscopy, negative stain","Microscopy, Electron, negative stain",http://terminology.hl7.org/CodeSystem/v3-ObservationMethod
ObservationMethod,0112,"Electron microscopy, thick section","Microscopy, Electron, thick section transmission",http://terminology.hl7.org/CodeSystem/v3-ObservationMethod
ObservationMethod,0113,"Electron microscopy, thin section","Microscopy, Electron, thin section transmission",http://terminology.hl7.org/CodeSystem/v3-ObservationMethod
ObservationMethod,0114,"Microscopy, Light","Microscopy, Light",http://terminology.hl7.org/CodeSystem/v3-ObservationMethod
ObservationMethod,0115,Polarizing light microscopy,"Microscopy, Polarized light",http://terminology.hl7.org/CodeSystem/v3-ObservationMethod
ObservationMethod,0116,Scanning electron microscopy,"Microscopy, Scanning electron",http://terminology.hl7.org/CodeSystem/v3-ObservationMethod
ObservationMethod,0117,Transmission electron microscopy,"Microscopy, Transmission electron",http://terminology.hl7.org/CodeSystem/v3-ObservationMethod
ObservationMethod,0118,Transparent tape direct examination,"Microscopy, Transparent tape direct examination",http://terminology.hl7.org/CodeSystem/v3-ObservationMethod
ObservationMethod,0119,3 Self-Sustaining Sequence Replication,"Molecular, 3 Self-Sustaining Sequence Replication",http://terminology.hl7.org/CodeSystem/v3-ObservationMethod
ObservationMethod,0120,Branched Chain DNA,"Molecular, Branched Chain DNA",http://terminology.hl7.org/CodeSystem/v3-ObservationMethod
ObservationMethod,0121,Hybridization Protection Assay,"Molecular, Hybridization Protection Assay",http://terminology.hl7.org/CodeSystem/v3-ObservationMethod
ObservationMethod,0122,Immune blot,"Molecular, Immune blot",http://terminology.hl7.org/CodeSystem/v3-ObservationMethod
ObservationMethod,0123,In-situ hybridization,"Molecular, In-situ hybridization",http://terminology.hl7.org/CodeSystem/v3-ObservationMethod
ObservationMethod,0124,Ligase Chain Reaction,"Molecular, Ligase Chain Reaction",http://terminology.hl7.org/CodeSystem/v3-ObservationMethod
ObservationMethod,0125,Ligation Activated Transcription,"Molecular, Ligation Activated Transcription",http://terminology.hl7.org/CodeSystem/v3-ObservationMethod
ObservationMethod,0126,Nucleic Acid Probe,"Molecular, Nucleic Acid Probe",http://terminology.hl7.org/CodeSystem/v3-ObservationMethod
ObservationMethod,0128,Nucleic acid probe with amplification,"Molecular, Nucleic acid probe with amplification *Rationale:* Duplicate of code 0126. Use code 0126 instead.",http://terminology.hl7.org/CodeSystem/v3-ObservationMethod
ObservationMethod,0129,Nucleic acid probe with target amplification,"Molecular, Nucleic acid probe with target amplification",http://terminology.hl7.org/CodeSystem/v3-ObservationMethod
ObservationMethod,0130,Nucleic acid reverse transcription,"Molecular, Nucleic acid reverse transcription",http://terminology.hl7.org/CodeSystem/v3-ObservationMethod
ObservationMethod,0131,Nucleic Acid Sequence Based Analysis,"Molecular, Nucleic Acid Sequence Based Analysis",http://terminology.hl7.org/CodeSystem/v3-ObservationMethod
ObservationMethod,0132,Polymerase chain reaction,"Molecular, Polymerase chain reaction",http://terminology.hl7.org/CodeSystem/v3-ObservationMethod
ObservationMethod,0133,Q-Beta Replicase or probe amplification category method,"Molecular, Q-Beta Replicase or probe amplification category method",http://terminology.hl7.org/CodeSystem/v3-ObservationMethod
ObservationMethod,0134,Restriction Fragment Length Polymorphism,"Molecular, Restriction Fragment Length Polymorphism",http://terminology.hl7.org/CodeSystem/v3-ObservationMethod
ObservationMethod,0135,Southern Blot,"Molecular, Southern Blot",http://terminology.hl7.org/CodeSystem/v3-ObservationMethod
ObservationMethod,0136,Strand Displacement Amplification,"Molecular, Strand Displacement Amplification",http://terminology.hl7.org/CodeSystem/v3-ObservationMethod
ObservationMethod,0137,Transcription Mediated Amplification,"Molecular, Transcription Mediated Amplification",http://terminology.hl7.org/CodeSystem/v3-ObservationMethod
ObservationMethod,0138,Western Blot,"Molecular, Western Blot",http://terminology.hl7.org/CodeSystem/v3-ObservationMethod
ObservationMethod,0139,Flocculation,"Precipitation, Flocculation",http://terminology.hl7.org/CodeSystem/v3-ObservationMethod
ObservationMethod,0140,Immune precipitation,"Precipitation, Immune precipitation",http://terminology.hl7.org/CodeSystem/v3-ObservationMethod
ObservationMethod,0141,Milk ring test,"Precipitation, Milk ring test",http://terminology.hl7.org/CodeSystem/v3-ObservationMethod
ObservationMethod,0142,Precipitin,"Precipitation, Precipitin",http://terminology.hl7.org/CodeSystem/v3-ObservationMethod
ObservationMethod,0143,Acid fast stain,"Stain, Acid fast",http://terminology.hl7.org/CodeSystem/v3-ObservationMethod
ObservationMethod,0144,"Acid fast stain, fluorochrome","Stain, Acid fast, fluorochrome",http://terminology.hl7.org/CodeSystem/v3-ObservationMethod
